2025-07-11 16:02:11.009 | WARNING  | utils.debug_utils:check_data_sanity:18 - edge_scanner: NaNs found—filling with 0
2025-07-11 16:02:11.010 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning temporal: Calendar patterns (e.g., day-of-week returns diffs)
2025-07-11 16:02:11.010 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.012 | WARNING  | core.edge_scanner:scan_for_edges:58 - temporal low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.012 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning directional: Long/short bias (e.g., positive drift in sims)
2025-07-11 16:02:11.014 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': np.float64(0.0004747480053472638), 'p': np.float64(0.024475765684454545)}...
2025-07-11 16:02:11.018 | WARNING  | core.edge_scanner:scan_for_edges:58 - directional low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.018 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning behavioral: Trend/reversion/chop (e.g., autocorrelation tests)
2025-07-11 16:02:11.018 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 0.05}...
2025-07-11 16:02:11.020 | WARNING  | core.edge_scanner:scan_for_edges:58 - behavioral low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.021 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning conditional: Regime-dependent (e.g., subset tests on vol)
2025-07-11 16:02:11.021 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.022 | WARNING  | core.edge_scanner:scan_for_edges:58 - conditional low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.022 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning event_driven: News reactions (e.g., isolate Fed days)
2025-07-11 16:02:11.023 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.024 | WARNING  | core.edge_scanner:scan_for_edges:58 - event_driven low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.024 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning intermarket: Cross-asset links (e.g., correlation tests)
2025-07-11 16:02:11.024 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.025 | WARNING  | core.edge_scanner:scan_for_edges:58 - intermarket low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.026 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning microstructural: Volume/VWAP patterns
2025-07-11 16:02:11.026 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.027 | WARNING  | core.edge_scanner:scan_for_edges:58 - microstructural low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.027 | INFO     | core.edge_scanner:scan_for_edges:39 - Scanning sentiment_flow: Positioning extremes (e.g., COT data if available)
2025-07-11 16:02:11.027 | DEBUG    | utils.debug_utils:log_var_state:23 - broad_results: {'score': 0, 'p': 1}...
2025-07-11 16:02:11.029 | WARNING  | core.edge_scanner:scan_for_edges:58 - sentiment_flow low globally/conditionally—check if latent in other filters
2025-07-11 16:02:11.029 | INFO     | core.edge_scanner:scan_for_edges:60 - Scan complete: 8 potential edges found
2025-07-11 16:02:11.029 | INFO     | utils.logger:wrapper:139 - scan_for_edges completed in 0.02s
2025-07-11 16:02:11.030 | WARNING  | utils.debug_utils:check_data_sanity:18 - fingerprint_evolver: NaNs found—filling with 0
2025-07-11 16:02:11.036 | ERROR    | utils.logger:wrapper:166 - Error in evolve_edges: 'function' object has no attribute 'copy'
2025-07-11 16:02:11.036 | ERROR    | utils.logger:wrapper:145 - evolve_edges failed after 0.01s: 'function' object has no attribute 'copy'
